system:time_start,NDVI
"Oct 23, 2016",0.113
"Oct 24, 2016",0.107
"Oct 31, 2016",0.123
"Oct 31, 2016",0.093
"Nov 1, 2016",0.134
"Nov 8, 2016",0.139
"Nov 8, 2016",0.111
"Nov 9, 2016",0.108
"Nov 16, 2016",0.078
"Dec 2, 2016",0.115
"Dec 2, 2016",0.095
"Dec 3, 2016",0.127
"Dec 10, 2016",0.126
"Dec 10, 2016",0.107
"Dec 11, 2016",0.121
"Dec 19, 2016",0.128
"Dec 26, 2016",0.143
"Dec 26, 2016",0.124
"Dec 27, 2016",0.123
"Jan 3, 2017",0.122
"Jan 3, 2017",0.103
"Jan 4, 2017",0.14
"Jan 11, 2017",0.136
"Jan 11, 2017",0.118
"Jan 12, 2017",0.118
"Jan 19, 2017",0.11
"Jan 19, 2017",0.095
"Jan 20, 2017",0.072
"Jan 27, 2017",0.114
"Feb 4, 2017",0.085
"Feb 4, 2017",0.101
"Feb 5, 2017",0.132
"Feb 12, 2017",0.126
"Feb 12, 2017",0.121
"Feb 13, 2017",0.117
"Feb 20, 2017",0.101
"Feb 20, 2017",0.077
"Feb 21, 2017",0.135
"Feb 28, 2017",0.134
"Feb 28, 2017",0.126
"Mar 1, 2017",0.115
"Mar 8, 2017",0.119
"Mar 8, 2017",0.099
"Mar 9, 2017",0.118
"Mar 16, 2017",0.055
"Mar 24, 2017",0.042
"Mar 24, 2017",0.086
"Mar 25, 2017",0.124
"Apr 1, 2017",0.121
"Apr 1, 2017",0.12
"Apr 2, 2017",0.107
"Apr 17, 2017",0.111
"Apr 17, 2017",0.111
"Apr 18, 2017",0.082
"Apr 25, 2017",0.055
"Apr 25, 2017",0.05
"Apr 26, 2017",0.112
"May 3, 2017",0.107
"May 3, 2017",0.108
"May 4, 2017",0.088
"May 11, 2017",-0.072
"May 11, 2017",0.021
"May 19, 2017",0.11
"May 19, 2017",0.103
"May 20, 2017",0.086
"May 27, 2017",0.055
"May 27, 2017",0.068
"May 28, 2017",0.102
"Jun 4, 2017",0.109
"Jun 4, 2017",0.101
"Jun 12, 2017",0.082
"Jun 12, 2017",0.076
"Jun 13, 2017",0.107
"Jun 20, 2017",0.105
"Jun 20, 2017",0.099
"Jun 21, 2017",0.077
"Jun 28, 2017",0.043
"Jun 28, 2017",0.05
"Jun 29, 2017",0.102
"Jul 6, 2017",0.106
"Jul 6, 2017",0.096
"Jul 7, 2017",0.08
"Jul 14, 2017",0.079
"Jul 14, 2017",0.074
"Jul 15, 2017",0.1
"Jul 22, 2017",0.1
"Jul 22, 2017",0.093
"Jul 23, 2017",0.072
"Jul 30, 2017",0.079
"Jul 30, 2017",0.071
"Jul 31, 2017",0.104
"Aug 7, 2017",0.105
"Aug 7, 2017",0.097
"Aug 8, 2017",0.074
"Aug 15, 2017",0.076
"Aug 15, 2017",0.07
"Aug 16, 2017",0.1
"Aug 23, 2017",0.104
"Aug 23, 2017",0.095
"Aug 24, 2017",0.07
"Aug 31, 2017",0.075
"Aug 31, 2017",0.066
"Sep 1, 2017",0.097
"Sep 8, 2017",0.093
"Sep 8, 2017",0.087
"Sep 9, 2017",0.067
"Sep 16, 2017",0.078
"Sep 16, 2017",0.069
"Sep 17, 2017",0.085
"Sep 24, 2017",0.082
"Sep 24, 2017",0.084
"Sep 25, 2017",0.078
"Oct 10, 2017",0.099
"Oct 10, 2017",0.091
"Oct 11, 2017",0.033
"Oct 18, 2017",0.04
"Oct 18, 2017",0.057
"Oct 19, 2017",0.102
"Oct 26, 2017",0.097
"Oct 26, 2017",0.103
"Oct 27, 2017",0.093
"Nov 3, 2017",0.091
"Nov 3, 2017",0.089
"Nov 4, 2017",0.113
"Nov 12, 2017",0.087
"Nov 19, 2017",0.088
"Nov 19, 2017",0.087
"Nov 20, 2017",0.118
"Nov 27, 2017",0.108
"Nov 27, 2017",0.101
"Nov 28, 2017",0.095
"Dec 5, 2017",0.091
"Dec 5, 2017",0.09
"Dec 6, 2017",0.102
"Dec 13, 2017",0.096
"Dec 13, 2017",0.097
"Dec 14, 2017",0.08
"Dec 21, 2017",0.033
"Dec 21, 2017",0.078
"Dec 29, 2017",0.112
"Dec 29, 2017",0.1
"Dec 30, 2017",0.092
"Jan 6, 2018",0.075
"Jan 22, 2018",0.084
"Jan 22, 2018",0.079
"Jan 23, 2018",0.108
"Jan 30, 2018",0.1
"Jan 30, 2018",0.089
"Jan 31, 2018",0.086
"Feb 7, 2018",0.087
"Feb 7, 2018",0.08
"Feb 8, 2018",0.099
"Feb 15, 2018",0.039
"Feb 23, 2018",0.084
"Feb 23, 2018",0.083
"Feb 24, 2018",0.091
"Mar 3, 2018",0.082
"Mar 4, 2018",0.073
"Mar 11, 2018",0.085
"Mar 11, 2018",0.081
"Mar 12, 2018",0.109
"Mar 19, 2018",0.095
"Mar 19, 2018",0.099
"Mar 20, 2018",0.087
"Mar 27, 2018",0.013
"Mar 27, 2018",0.042
"Mar 28, 2018",0.103
"Apr 4, 2018",0.091
"Apr 5, 2018",0.082
"Apr 12, 2018",0.062
"Apr 13, 2018",0.091
"Apr 20, 2018",0.086
"Apr 20, 2018",0.085
"Apr 21, 2018",0.079
"Apr 28, 2018",0.01
"Apr 28, 2018",0.029
"Apr 29, 2018",0.103
"May 6, 2018",0.086
"May 6, 2018",0.089
"May 7, 2018",0.079
"May 14, 2018",0.084
"May 14, 2018",0.071
"May 23, 2018",0.081
"May 30, 2018",0.081
"May 30, 2018",0.077
"May 31, 2018",0.097
"Jun 7, 2018",0.037
"Jun 8, 2018",0.07
"Jun 15, 2018",0.075
"Jun 15, 2018",0.065
"Jun 16, 2018",0.098
"Jun 23, 2018",0.103
"Jun 23, 2018",0.094
"Jun 24, 2018",0.066
"Jul 1, 2018",0.073
